Nr	TABLE	MYSQL	DBF	FILE	ACTIVE	EMPTY
1	IDX_CALENDAR	IDX_CALENDAR	IDX_CALENDAR	IDX_CALENDAR.txt	9	1
2	MAR_REF	MAR_REF	MAR_REF	MAR_REF.txt	9	1
3	SEC_REF	SEC_REF	SEC_REF	SEC_REF.txt	9	1
4	STK_REF	STK_REF	STK_REF	STK_REF.txt	9	1
5	IDX_REF	IDX_REF	IDX_REF	IDX_REF.txt	9	1
6	STK_PRICES	STK_PRICES	STK_PRICES	STK_PRICES.txt	9	1
7	CUR_RATES	CUR_RATES	CUR_RATES	CUR_RATES.txt	9	1
8	IDX_COMPO	IDX_COMPO	IDX_COMPO	IDX_COMPO.txt	9	1
9	IDX_COMPOSITION	IDX_COMPOSITION	IDX_COMPOSITION	IDX_COMPOSITION.txt	1	1
10	IDX_SPECS	IDX_SPECS	IDX_SPECS	IDX_SPECS.txt	9	1
11	IDX_CA	IDX_CA	IDX_CA	IDX_CA.txt	9	1
12	STK_DIV	STK_DIV	STK_DIV	STK_DIV.txt	9	1
13	SUMMARY	SUMMARY	SUMMARY	SUMMARY.txt	1	1
14	idx_files	FILESLIST	FILESLIST	IDX_FILES.txt	9	1
14	SYS_FORMAT	SYS_FORMAT	SYS_FORMAT	SYS_FORMAT.txt	9	1
