CODE_DWN	COLUMN	DATAFIELD	LEFT	RIGHT	TYPE	FORMAT	DELIMITOR	MULT	OCCURRENCE	METAORDER	COMMENT
CPHPRHSXHW	2	ticker	>	<	C				3		
CPHPRHSXHW	3	pcei	>	<	N			1000	2		
CPHPRHSXHW	4	pflr	>	<	N			1000	2		
CPHPRHSXHW	5	pref	>	<	N			1000	1		
CPHPRHSXHW	6	pcls	>	<	N			1000	2		
CPHPRHSXHW	10	vlm	>	<	N			1	1		
CPHPRHSXHW	14	popn	>	<	N			1000	2		
CPHPRHSXHW	15	phgh	>	<	N			1000	2		
CPHPRHSXHW	16	plow	>	<	N			1000	2		
CPHPRHNXHW	2	ticker	>	<	C				3		
CPHPRHNXHW	3	pcei	>	<	N			1000	2		
CPHPRHNXHW	4	pflr	>	<	N			1000	2		
CPHPRHNXHW	5	pref	>	<	N			1000	1		
CPHPRHNXHW	6	pcls	>	<	N			1000	2		
CPHPRHNXHW	10	vlm	>	<	N			1	1		
CPHPRHNXHW	14	popn	>	<	N			1000	2		
CPHPRHNXHW	15	phgh	>	<	N			1000	2		
CPHPRHNXHW	16	plow	>	<	N			1000	2		
EXCPRHSXHH	1	ticker	>	<	C				2		
EXCPRHSXHH	2	pref	>	<	N			1000	2		
EXCPRHSXHH	3	popn	>	<	N			1000	2		
EXCPRHSXHH	4	pcls	>	<	N			1000	2		
EXCPRHSXHH	7	plow	>	<	N			1000	2		
EXCPRHSXHH	8	phgh	>	<	N			1000	2		
EXCPRHSXHH	9	pavg	>	<	N			1000	2		
EXCPRHSXHH	10	vlm	>	<	N			1	2		
EXCPRHSXHH	11	trn	>	<	N			1000	2		
EXCPRHNXHH	2	ticker	>	<	C				2		
EXCPRHNXHH	3	pref	>	<	N			1000	1		
EXCPRHNXHH	4	pcei	>	<	N			1000	1		
EXCPRHNXHH	5	pflr	>	<	N			1000	1		
EXCPRHNXHH	6	popn	>	<	N			1000	1		
EXCPRHNXHH	7	pcls	>	<	N			1000	1		
EXCPRHNXHH	11	phgh	>	<	N			1000	1		
EXCPRHNXHH	12	plow	>	<	N			1000	1		
EXCPRHNXHH	14	vlm	>	<	N			1	1		
EXCPRHNXHH	15	trn	>	<	N			1	1		
EXC11	1	ticker	>	<	C				2		
EXC11	2	pref	>	<	N			1000	2		
EXC11	3	popn	>	<	N			1000	2		
EXC11	4	pcls	>	<	N			1000	2		
EXC11	7	plow	>	<	N			1000	2		
EXC11	8	phgh	>	<	N			1000	2		
EXC11	9	pavg	>	<	N			1000	2		
EXC11	10	vlm	>	<	N			1	2		
EXC11	11	trn	>	<	N			1000	2		
FPTPRHNXHW	2	ticker	>	<	C				1		
FPTPRHNXHW	3	pref	>	<	N			1000	1		
FPTPRHNXHW	4	pcei	>	<	N			1000	1		
FPTPRHNXHW	5	pflr	>	<	N			1000	1		
FPTPRHNXHW	6	popn	>	<	N			1000	1		
FPTPRHNXHW	7	pcls	>	<	N			1000	1		
FPTPRHNXHW	8	phgh	>	<	N			1000	1		
FPTPRHNXHW	9	plow	>	<	N			1000	1		
FPTPRHNXHW	10	pavg	>	<	N			1000	1		
FPTPRHNXHW	13	vlm	>	<	N			1	1		
FPTPRHNXHW	16	trn	>	<	N			1000000	1		
FPTPRUPCHW	2	ticker	>	<	C				1		
FPTPRUPCHW	3	pref	>	<	N			1000	1		
FPTPRUPCHW	4	pcei	>	<	N			1000	1		
FPTPRUPCHW	5	pflr	>	<	N			1000	1		
FPTPRUPCHW	6	popn	>	<	N			1000	1		
FPTPRUPCHW	7	pcls	>	<	N			1000	1		
FPTPRUPCHW	8	phgh	>	<	N			1000	1		
FPTPRUPCHW	9	plow	>	<	N			1000	1		
FPTPRUPCHW	10	pavg	>	<	N			1000	1		
FPTPRUPCHW	13	vlm	>	<	N			1	1		
FPTPRUPCHW	16	trn	>	<	N			1000000	1		
FPTPRHSXHW	2	ticker	>	<	C				1		
FPTPRHSXHW	3	pref	>	<	N			1000	1		
FPTPRHSXHW	4	pcei	>	<	N			1000	1		
FPTPRHSXHW	5	pflr	>	<	N			1000	1		
FPTPRHSXHW	6	popn	>	<	N			1000	1		
FPTPRHSXHW	7	pcls	>	<	N			1000	1		
FPTPRHSXHW	8	phgh	>	<	N			1000	1		
FPTPRHSXHW	9	plow	>	<	N			1000	1		
FPTPRHSXHW	10	pavg	>	<	N			1000	1		
FPTPRHSXHW	13	vlm	>	<	N			1	1		
FPTPRHSXHW	16	trn	>	<	N			1000000	1		
FPTS02	2	ticker	>	<	C				1		
FPTS02	3	pref	>	<	N			1000	1		
FPTS02	4	pcei	>	<	N			1000	1		
FPTS02	5	pflr	>	<	N			1000	1		
FPTS02	6	popn	>	<	N			1000	1		
FPTS02	7	pcls	>	<	N			1000	1		
FPTS02	8	phgh	>	<	N			1000	1		
FPTS02	9	plow	>	<	N			1000	1		
